sr.no,poem,label
1,"To learn while still a child
What this life is meant to be.
To know it goes beyond myself,
It’s so much more than me.
To overcome the tragedies,
To survive the hardest times.
To face those moments filled with pain,
And still, manage to be kind.
To fight for those who can’t themselves,
To always share my light.
With those who wander in the dark,
To love with all my might.
To still stand up with courage,
Though standing on my own.
To still get up and face each day,
Even when I feel alone.
To try to understand the ones
That no one cares to know.
And make them feel some value
When the world has let them go.
To be an anchor, strong and true,
That person loyal to the end.
To be a constant source of hope
To my family and my friends.
To live a life of decency,
To share my heart and soul.
To always say I’m sorry
When I’ve harmed both friend and foe.
To be proud of whom I’ve tried to be,
And this life I chose to live.
To make the most of every day
By giving all I have to give.
To me, that’s what this life should be,
To me, that’s what it’s for.
To take what God has given me
And make it so much more
To live a life that matters,
To be someone of great worth.
To love and be loved in return
And make my mark on Earth.",
2,"If you can keep your head when all about you

Are losing theirs and blaming it on you,

If you can trust yourself when all men doubt you,

But make allowance for their doubting too;

If you can wait and not be tired by waiting,

Or being lied about, don’t deal in lies,

Or being hated, don’t give way to hating,

And yet don’t look too good, nor talk too wise:

If you can dream — and not make dreams your master;

If you can think — and not make thoughts your aim;

If you can meet with Triumph and Disaster

And treat those two impostors just the same;

If you can bear to hear the truth you’ve spoken

Twisted by knaves to make a trap for fools,

Or watch the things you gave your life to, broken,

And stoop and build ’em up with worn-out tools:

If you can make one heap of all your winnings

And risk it on one turn of pitch-and-toss,

And lose, and start again at your beginnings

And never breathe a word about your loss;

If you can force your heart and nerve and sinew

To serve your turn long after they are gone,

And so hold on when there is nothing in you

Except the Will which says to them: ‘Hold on!’

If you can talk with crowds and keep your virtue,

Or walk with Kings — nor lose the common touch,

If neither foes nor loving friends can hurt you,

If all men count with you, but none too much;

If you can fill the unforgiving minute

With sixty seconds’ worth of distance run,

Yours is the Earth and everything that’s in it,

And — which is more — you’ll be a Man, my son!",
3,"Two roads diverged in a yellow wood,

And sorry I could not travel both

And be one traveler, long I stood

And looked down one as far as I could

To where it bent in the undergrowth;

Then took the other, as just as fair,

And having perhaps the better claim,

Because it was grassy and wanted wear;

Though as for that the passing there

Had worn them really about the same,

And both that morning equally lay

In leaves, no step had trodden black.

Oh, I kept the first for another day!

Yet knowing how way leads on to way,

I doubted if I should ever come back.

I shall be telling this with a sigh

Somewhere ages and ages hence:

Two roads diverged in a wood, and I —

I took the one less traveled by,

And that has made all the difference.",
4,"Act! Take Action! Be Active!

Tell me not, in mournful numbers,

Life is but an empty dream!

For the soul is dead that slumbers,

And things are not what they seem.

Life is real! Life is earnest!

And the grave is not its goal;

Dust thou art, to dust returnest,

Was not spoken of the soul.

Not enjoyment, and not sorrow,

Is our destined end or way;

But to act, that each to-morrow

Find us farther than to-day.

Art is long, and Time is fleeting,

And our hearts, though stout and brave,

Still, like muffled drums, are beating

Funeral marches to the grave.

In the world’s broad field of battle,

In the bivouac of Life,

Be not like dumb, driven cattle!

Be a hero in the strife!

Trust no Future, however pleasant!

Let the dead Past bury its dead!

Act, — act in the living Present!

Heart within, and God o’erhead!

Lives of great men all remind us

We can make our lives sublime,

And, departing, leave behind us

Footprints on the sands of time;

Footprints, that perhaps another,

Sailing o’er life’s solemn main,

A forlorn and shipwrecked brother,

Seeing shall take heart again.

Let us, then, be up and doing,

With a heart for any fate;

Still achieving, still pursuing,

Learn to labor and to wait.",
5,"This being human is a guest house.
Every morning a new arrival.
A joy, a depression, a meanness,
some momentary awareness comes
as an unexpected visitor.
Welcome and entertain them all!
Even if they’re a crowd of sorrows,
who violently sweep your house
empty of its furniture,
still, treat each guest honorably.
He may be clearing you out
for some new delight.
The dark thought, the shame, the malice,
meet them at the door laughing,
and invite them in.
Be grateful for whoever comes,
because each has been sent
as a guide from beyond.",
6,"“Hope” is the thing with feathers -
That perches in the soul -
And sings the tune without the words -
And never stops — at all -

And sweetest — in the Gale — is heard -
And sore must be the storm -
That could abash the little Bird
That kept so many warm -

I’ve heard it in the chillest land -
And on the strangest Sea -
Yet — never — in Extremity,
It asked a crumb — of me.",
7,"The tide rises, the tide falls,

The twilight darkens, the curlew calls;

Along the sea-sands damp and brown

The traveler hastens toward the town,

And the tide rises, the tide falls.

Darkness settles on roofs and walls,

But the sea, the sea in the darkness calls;

The little waves, with their soft, white hands,

Efface the footprints in the sands,

And the tide rises, the tide falls.

The morning breaks; the steeds in their stalls

Stamp and neigh, as the hostler calls;

The day returns, but nevermore

Returns the traveler to the shore,

And the tide rises, the tide falls.",
8,"It was many and many a year ago,

In a kingdom by the sea,

That a maiden there lived whom you may know

By the name of Annabel Lee;

And this maiden she lived with no other thought

Than to love and be loved by me.

I was a child and she was a child,

In this kingdom by the sea,

But we loved with a love that was more than love —

I and my Annabel Lee —

With a love that the wingèd seraphs of Heaven

Coveted her and me.

And this was the reason that, long ago,

In this kingdom by the sea,

A wind blew out of a cloud, chilling

My beautiful Annabel Lee;

So that her highborn kinsmen came

And bore her away from me,

To shut her up in a sepulcher

In this kingdom by the sea.

The angels, not half so happy in Heaven,

Went envying her and me —

Yes! — that was the reason (as all men know,

In this kingdom by the sea)

That the wind came out of the cloud by night,

Chilling and killing my Annabel Lee.

But our love it was stronger by far than the love

Of those who were older than we —

Of many far wiser than we —

And neither the angels in Heaven above

Nor the demons down under the sea

Can ever dissever my soul from the soul

Of the beautiful Annabel Lee;

For the moon never beams, without bringing me dreams

Of the beautiful Annabel Lee;

And the stars never rise, but I feel the bright eyes

Of the beautiful Annabel Lee;

And so, all the night-tide, I lie down by the side

Of my darling — my darling — my life and my bride,

In her sepulcher there by the sea —

In her tomb by the sounding sea.",
9,"The buzz-saw snarled and rattled in the yard

And made dust and dropped stove-length sticks of wood,

Sweet-scented stuff when the breeze drew across it.

And from there those that lifted eyes could count

Five mountain ranges one behind the other

Under the sunset far into Vermont.

And the saw snarled and rattled, snarled and rattled,

As it ran light or had to bear a load.

And nothing happened: the day was all but done.

Call it a day, I wish they might have said

To please the boy by giving him the half-hour

That a boy counts so much when saved from work.

His sister stood beside him in her apron

To tell them ‘Supper.’ At the word, the saw,

As if to prove saws knew what supper meant,

Leaped out at the boy’s hand, or seemed to leap —

He must have given the hand. However, it was,

Neither refused the meeting. But the hand!

The boy’s first outcry was a rueful laugh,

As he swung toward them holding up the hand

Half in appeal, but half as if to keep

The life from spilling. Then the boy saw all —

Since he was old enough to know, big boy

Doing a man’s work, though a child at heart —

He saw all spoiled. ‘Don’t let him cut my hand off —

The doctor, when he comes. Don’t let him, sister!’

So. But the hand was gone already.

The doctor put him in the dark of ether.

He lay and puffed his lips out with his breath.

And then — the watcher at his pulse took fright.

No one believed. They listened at his heart.

Little — less — nothing! — and that ended it.

No more to build on there. And they, since they

Were not the one dead, turned to their affairs.",
10,"At lunchtime I bought a huge orange—
The size of it made us all laugh.
I peeled it and shared it with Robert and Dave—
They got quarters and I had a half.

And that orange, it made me so happy,
As ordinary things often do
Just lately. The shopping. A walk in the park.
This is peace and contentment. It’s new.

The rest of the day was quite easy.
I did all the jobs on my list
And enjoyed them and had some time over.
I love you. I’m glad I exist.",
