sr.no,poem,label
1,"I sit silently in a class, not exactly paying attention, but not drifting all the same.
I am stuck in that space, just before dissociation, just before conscious thought.
You still plague my mind, many years after you're gone, like you did just after the day you came.
You and I, against the world, nothing would stop us, our friendship was wrought.

I'm still in class, thinking of you, slipping away, like I always do.
I remember your hair, the purple I envied,
your manic eyes, constantly frenzied.
Your crooked bottom teeth, the rings that you wore,
your pretty singing voice, the way that you swore.

I know our memories are far and between
I wanted nothing more than to be seen
revered
loved
by you

I hope you remember me
as you are somewhere new
I hope you remember how
I loved you.

The teacher has been calling on me, my class is snickering
my head is filled with voices again, constant bickering.
It isn't the first time, and wont be the last,
that I get stuck in my head
remembering the past.",
2,"You know I love it 
When I look out of my window
On a winter afternoon 
The lights peeking through the dusty rooms
Illuminating the trees with a golden glow
It so very much matches to you

You know I feel warm
When I take long walks 
Alone with my songs 
On sweet evenings 
dimming into a stary-lit sky
It kind of feels like your touch 

You know I feel Full
When am sitting in a cafe 
With my half eaten pizza and my book
Stealing glances at the street 
It's the most beautiful painting 
I have ever seen
It reminds me of your smile

You know I feel free
When m cycling through the valleys
Traveling alone with skies , roads and trees
The breeze brushes my skin 
Gently touching and soflty leaving 
It's the most shivering freedom
I have ever lived with
It associates itself to you

It's funny sometimes
How much I love it 
It's funny sometimes 
How much I crave it 
It's funny sometimes
How much I feel it
It's almost funny
But 
 your humour doesn't match with me",
3,"Why is it always like this 
That I try so hard , 
I fight 
But 
You :
You just turn away and hide ..
 I try so hard to be fair ,
To be kind 
But you:
Has this thought ever 
Even Crossed your mind??
 I try try and try ...
But you: 
Don't even bother to wipe the tears 
When I cry ..
I feel so abandoned 
I feel so ignored 
But you say: 
Come on now 
It's just in your head 
And m bored!
I fucking scream 
I want you to value me 
But you :
Just crumple me 
And throw it away 
Like that's how its always been 
Okay now, darling ;
Fuck this 
I quit 
Trying ...",
4,"Most of times 
You are out of my mind
Atleast I like to think you are 
You know;
I can sing my heart out LOUD
I even can dance 
(Oh baby , you are not ready for those moves)
And be all happy shouts..
I just push away the pain
Delay it from Settling in..
Cause m not the type to dwell ..
I feel hard when I FEEL 
I laugh OUT LOUD when I do 
I smile ear to ear till my cheeks hurt
And I cry my soul out ..
Weep it dry till m empty 
Those times don't happen alot 
But oh boy 
They hit me hard everytime they crash in
And m on the floor bleeding ..
I have bandages you know...
But this time 
They won't suffice 
It's a BIG SHOW!",
5,"I wish I could show you 
How I float around everyday 
Just to fall so hard it breaks my bones 

I wish I could show you 
How I smile so wide 
My eyes try to swallow the tears I hide 

I wish I could show you 
When I walk past you my head held high 
M literally dying inside 

I wish I could 
If I could ; I really really would 
That doesn't mean I should 

My life gets Tangled in the should's
But all I want to do is 
Give in to all the could's 

But I promise 
I will let go of this 
I really would",
6,"I was oblivious to this 
Until today 
Until I saw you again.
Until all of it came rushing in
Through my blood and my veins.
 I know m my criminal 
You were not even a witness, ever
I considered you my crime 
Well , I was lost in the allures of mythics
Got used to the fantasy 
Dreamt of something unreal 
And crushed it with reality 

I  have to keep walking 
I know that too ...
But I was just too afraid ..
What if I left and the possibility of us 
Feels abandoned and lonely 
And eventually fade to nothing?
Now , I try to mollify 
With the nothings in you tries.
It makes me sick through the stomach 
The pain : it really hurts 
My mind throbs 
And breaths turn harsh 
Even my body knows this 
And  tries to venge in the anger 
But what's the point?
You never were here , 
After all!",
7,"

Can I tell you something?
Will you really listen without judging?
Will you just hold me in your arms ?
While I ruin your shirt with streaks of tears?
I really wanna cry 
I am so so tired 
Of this pretending heckhole of life 
It's  like wires and wires of thornes
Piercing my throat 
Blocking everything 
The air I breath 
The emotions I supress or express maybe 
Don't call me a fool 
I am just like a dead garden 
Waiting for the golden time of the bloom 
I am just like a line in your diary 
That you write and erase 
Write and erase 
WRITE 
And 
ERASE 
Over and over again 
Till it fades away 

I am like an ugly itch 
You can't scratch and satiate it 
You rub , rub, rub ...
It just bleeds not numbing anything

You think I like being this?
No ...
NO!
Not one bit 

Just hold me please
Help me drown 
I promise I will learn to breath 
I will bury myself deep within 
I promise 
I will learn to breath",
8,"So crowded...
So much so..
It leaves us completely empty..
The vessel that's the loudest..
But apparently...
Everyone becomes suddenly deaf..

So much similarities..
So much so..
I see my several reflections all around me
And yet....
Yet I fight the war completely alone..
A lone survivor..
It's quite sad..really...

So much yearning...
So much so..
I see the threads of longing hanging along..
Twisted and turned ..
Ending up as unresolvable knots..
Puppets with whims...
Just  dancing dancing and dancing 
On the tones of their own dims..

Such eternity of misery
Sadness and heartbreaķs. .
Yearning and longing...
Emptiness and the dark glory..
It's all ...never-ending..
It's a lesson darling...
Learn...it's just...not worth it...",
9,"The talks of the thoughts
Bleed my ears 
Tarnish my brain 
Exhausts my mind
Dry my eyes 
Peel my skin 
Scratch it bone deep

You wouldn't want to know what they say..
Maybe you are the problem after all ;
Miss ""Brave ""
Maybe you are not worth it..
Maybe you just don't fit ..
Is it because how you look?
Or Beacuse a hurried path you took?
Well he says , 
Its not you , Its me..
Or is it just the blind you don't wanna see?

Unrequited love surely hurts 
But it wasn't close to be something sacred..
He was an experience 
He had to pass...
Beacuse they say good things
They never last..
The optimist in you shouldn't be mum
It wasn't beacuse of ""SOMEONE""
The chances were always slick and thin 
Maybe you weren't made for him..",
10,"She really doesn't want to let go!
Let go 
Of you 
Your smile 
Your laugh 
Your tears 
Your warmth 
Your coldness
Your memories 

Inspite of what she wants 
It all ..
All of it 
It comes down to nothing 
If all she can do is 
LET GO 
knowing that 
It will hurt !
It will tear her apart! 
It might be the end of everything!
SHE 
HAS 
TO 
LET 
GO 

Fuck this cruel world",
