sr.no,poem,label
1,"I never thought growing up would be excruciatingly heartbreaking 
I never thought I would have to move on 
From the days when all of us had adventure parties 
I never thought there would be a time where I have to live without my daily dose of goofiness
I never thought we will have to wait years to catch a glimpse of their lives
I never thought that the stories grandma used to paint my mind with ; would be white lies
I never thought I would want to get away from the one thing i hold so close
I never thought there would be tiny thrones 
Dressing the beautiful rose
I never thought I would have to stop being shamelessly foolish 
Nowadays they call such pals selfish 

I never ever thought I would  strive to be a child again 
To dream abt dragons and piloting fighter planes
To have imaginary forest adventures with my fellas
To float water boats ; 
abandoning the umbrellas 
To cry away without shame 
Being pampered and crack jokes
now i think are so lame 
To laugh out loud without thinking twice 
To have cooking shows with my sister 
Oh, the kitchen's demise!!!

The truth remains black and white
No one  can race against Time 
We grow up be it together or apart 
The days still stay alive in the corner 
Of our breaking hearts",Nostalgia
2,"Brian, I’m still calling you Brian,
it’s raining and Sunday where you gig
now, or it isn’t. I can only reconstruct

you from the stickers, scabbed
and bleaching on the punished body
of your gnarly Tanglewood.

The nurse reattached your fingertip,
but a wallop from the yard brush
ruptured your eardrum.

One less ear for tinnitus to fuck,
you’d smirk, no polished savant you
but your hands were charmed.

You’d oblige when a haze of stragglers
at the party passed the toy ukulele,
pluck until the big fella wept.

Ais, moonlighting as a dilettante
astrologer for pub money, saw collisions
in your nativity, tapping an ochre nail

on your tenth house of fame
in the horoscope she’d drawn in air
and that cinched it.

One time you said we’d tour Egypt.
But Brian I’ve pawned my tinny amp
and the Stratocaster wasn’t mine to keep.

Story with rent? Even a frontman
of your cut and sacrée tignasse
might be turfed out on a landlord’s whim.

But I know the story. Or I do its gist.
The scraggly contours. Box bedroom. Skint.
Don’t ask me how, but I feel

some tomorrow your name will occur
and I’ll shrug no news since this.
I’ll wish I asked then, why Egypt?

Maybe don’t wade out so far alone
some beautiful day in June
until the sound stops.

Just square this as a crappy phase
of the moon’s twenty-and-eight.
I want tortoiseshell plectrums for you.

Whisht is what you say, a querying thumb
jabbed in the direction of the bar
where the tune is jangling down.

You know what it is.
You’ve heard it before, you think—where?
It’s not my place to say.",
3,"Close to the door he passed to stand

to take the ring off her hand

all who were watching didn't dare speak

as a silent tear ran down his cheek

all watched in silence as he bent near

to whisper i love you in her ear.

through his mind the memories ran

of the days they had walked hand in hand

how her eyes were terribly cold

he never again would have her to hold

he took the ring and wanted to cry

touched her face and wanted to die

and just as the wind began to blow

they lowered her casket

into the snow",
4,"I shall gather myself into myself again,
   I shall take my scattered selves and make them one,
Fusing them into a polished crystal ball
   Where I can see the moon and the flashing sun.

I shall sit like a sibyl, hour after hour intent,
   Watching the future come and the present go,
And the little shifting pictures of people rushing
   In restless self-importance to and fro.",
5,"In the beginning, there was your mouth:
soft rose, rose murmur, murmured breath, a warm

cardinal wind that drew my needle north.
Magnetic flux, the press of form to form. 

In the beginning, there was your mouth—
the trailhead, the pathhead faintly opened,

the canyon, river-carved, farther south,
and ahead: the field, the direction chosen.

In the beginning, there was your mouth,
a sky full of stars, raked or raking, clock-

wise or west, and in the close or mammoth 
matter, my heart’s red muscle, knocked and knocked.

In the beginning, there was your mouth,",
6,"i wonder if I’ll ever fall as hard and fast as I did when I was 14.

i’m in a new house, now.
a new room.
it’s gentle here.
safer than anywhere I’ve ever been.
it’s missing a few touches still, perhaps a poster or two.
perhaps it’s missing you.

you always seemed to make a space feel more like home to me.
with careful hands
you tinkered with my own vision of where I was,
who I was,
Who I am.
in my childhood bedroom you pressed me against the window, kissed me
whirled me around, treading on soft carpets
curled locks of hair around your fingers,
cradled me to sleep.
we broke a bed, bought a new one.

we played house like we were old and married.
teasing each other, loving each other.
You taught me how to be.
you took a simple pillow, or a blanket,
flicked on the switch of a warm lamp light
put your hand in the back pocket of my jeans
and made me feel grown up.

so now I sit in my new room,
in my new house,
with my new friends,
drinking pints in the pub, cooking in the kitchen,
playing house.
making a home.
you’re not here, but I see you in the plants on the windowsill.
the candles beside my bed.
the way I can fall asleep a little faster, a little easier.

Maybe I’ve just grown up.
or maybe it will always be you,
and the memory of a life I pretended to have with you
playing out in front of me.
I think all along it was you that was home to me.
you’re everywhere in my room still, in my happiness, in my adulthood.

you showed me what it meant to be safe.
you built me a house in my head that I’ve finally let myself into.
A home.
blue shutters and a door open
for the next time I fall, however hard, however fast.
I hope you’ll come and visit, sometime.",
7,"If I had the chance to relive one part of my life, 
I’d do things differently with us. 
I’d say “I love you” more often than I did, 
and press a kiss to your lips the night we met.

I’d bring you flowers, yellow roses 
just to bring warmth into your life, 
because you told me you suffered too much. I’d hold you tighter if I had the chance, 
rest my head on your chest more, not less. 

I’d place a kiss on the tip of your nose, 
and maybe we’d get married 
and dance to your favourite song.

I’d tell my mother you were the one.
 I’d declare to her there was nothing but us. 
I’d say something better
than “we’re too young,” 
because it was such a silly thing to keep us apart.
 But we were just kids, stupidly in love 
and what could we do 
when we were only thirteen years old?

If time were kind enough to give me another moment, 
I’d learn how to listen to the silences
 hidden between your words. 
I’d keep every secret you trusted me with
 and guard it like a treasure.
 I’d walk beside you longer, even when the road got dark, 
and I’d whisper your name like a promise
I meant to keep.
But time doesn’t wait, and the past stays where it belongs.

 All I can do now is carry your memory
like sunlight in my hands, 
forgive the children we once were, 
and thank you for teaching me 
what love felt like the first time.

And if some distant evening
 our paths should cross again, 
I’ll smile at you softly 
and hope you’ll know without words
 that I always loved you 
then, now, and in every life 
where I get another chance.

And until that day,
 I’ll plant yellow roses in gardens that aren’t ours, 
watch them bloom and wither without you. I’ll hear our songs in empty rooms, 
and dance alone under a sky 
that keeps its stars to itself. 
It won’t change the past, 
but it will remind me gently 
how something so young 
could still ache like forever.

I’ll walk down streets that feel like echoes, where every shadow holds a memory of your face.
 Sometimes I’ll whisper your name into the wind 
just to feel it leave my mouth again. Sometimes I’ll close my eyes
 and picture the life we might have built
 not to torture myself, but to keep it real
 for a few more heartbeats.

And when the seasons turn, 
I’ll stand at the edge of winter, 
holding a single yellow rose, 
knowing it will never reach you but still lifting it toward the sky  as if it might.

 Because even if we never meet again, somewhere in the quiet between my breaths you’re still there, thirteen and smiling, 
and I’m still reaching for you.",
8,"To be a memory walker
A director of dreams
Forgetting what is real
And what endings really mean

Replaying harsher words
And sunnier days as well
An archaic tape rewatched with an organizational system from hell

I rearrange the order
From which this life is lived
Creating full pockets of happiness without despair sprinkled in

And I'll lay here with the highlight reel
Aching for people I've loved
Forgetting its okay to let things end
The connection was enough

A bittersweet day for memories
When new life paths are clear
Upsetting to have had connections
so strong
Yet end up nowhere near

But you are happy
He is happy
They are happy
And really, so am I
But sometimes,
It feels good to see you again
Even just in my mind",
9,"Crisp September breeze
Carries memories
From too many years past.
Feelings unprocessed,
Echoes of uncertainty.

Promises left unkept,
Dreams and hopes
Scattered to the four winds.
And wounds untended,
Deep, ugly, gnarled.

Something in the chill,
Hauled in on the wind,
Makes the hurt return
Like an old fracture
That aches before a storm.",
10,"the expanse of hallway outside my hotel door
seems to go on forever
the space seems to embody an otherworldly feeling
between our world and some other
indescribable place
is it comforting or claustrophobic?
I used to visit our small town mall
when I was young, it was bustling with life
it had a movie theater
with endearingly tacky Electra-Dye carpets,
an arcade, and a Borders bookstore.
years passed, and the place became a husk.
movie theaters are on the decline,
and the bookstore went bankrupt.
malls are shutting down all over the world
due to the popularity of online shopping
and digital streaming.
movie theater architecture no longer looks like
an odyssey into space,
but a hotel lobby with neutral colors.
humanity left it all behind.
we gave these spaces life with our humanity.
the liminal spaces were alive with the
frenetic energy of living.
they were meant to be inhabited.
I visited our local mall.
there were only a few other people.
it felt like I wasn't supposed to see it that way— devoid of life, devoid of the meaning
humanity described it.
it became a relic of the past.
I wandered the hallways
and saw the movie posters they displayed.
the showings were from seasons before,
and they were peeling off the walls.
it felt like I was left behind too.
liminal zones are really the state in between
the past and the present,
nostalgia and the modern age.
the walls were just walls.
the carpets just carpets.
but my memories gave it meaning.
if birth is the beginning and death is the end
life is the liminal space.",
