sr.no,poem,label
1,"I feel so pretty
When my ĥair flow with the wind 
When i paint my lips 
A little more like cherries 
When I dress as the characters 
Resembling the books
And look at the world 
And tighten my hold on the hooks

Sometimes I wanna pretend to be 
Free , fearlesss and beautiful 
Sometimes I wanna gallop along the valleys
And watch the sun drown in all it's glory giving way to the glowy moon
Sometimes I wanna write , write and keep writing till my wrist hurts 
Sometimes I wanna take my guitar and sing to this hopeless world...
Sometimes I wanna scratch at the shadows 
People hide in 
and make them see the light.....
Sometimes I wanna never give up and with all my strenghth ...
I just wanna fight...
Myself , you , them and everything that keeps these sometimes away from me..
It really doesn't have to be like this..
Birth, fight, loose and death..
Is that really it?",
2,"Once there was a prince 
Who didn't know nothing 
But love and happiness 
He carried these  heavy loads
Wherever and whenever he went ..

In a parallel universe 
Existed a princess 
She knew everything 
Except love and happiness 
She didn't set a foot out of her castle 
And liked to be trapped 
In the dark..

She loved the atrocities of the past 
Believed that they existed forever and were there to last. ..

He loved the brightest side of life 
He was so bright 
That he overshadowed the stars 
Like the sun does on a bright sunny day 

She was a new moon night 
While he was the break of dawn ..

Do always 
The prince and the princess need to coincide ? 
Like a bright and warm day falls into the cold and dark embrace of a night? 
Are they always destined to complete each other? 

Can't just they be incomplete forever ? 
Becoz for something that's left undone 
There is always hope ..
And it continues till forever 
Or it will perish in one milli second ..
Who knows 
It may stay 
Or might go away ...",
3,"Who in this world could claim the right
To define what is a memory?

To be able to see what others can’t see,
To be able to smell flowers in dreams—
We are all a walking treasury.

What magic we make that grows with age
And creeps through our melodies,

That trickles from books, from lasting looks, from yawning gentle poetry.

What words can change in an hour or an age
Of long past tales and history?

Can we remember or try to dismember
The meaning of a eulogy?

Do we surrender to cold December
And live again in memories,
Or wish that someday we break asunder
And become immortal memories?",
4,"Hold fast to dreams
For if dreams die
Life is a broken-winged bird
That cannot fly.
Hold fast to dreams
For when dreams go
Life is a barren field
Frozen with snow.",
5,"Everyday 
I think i have found it
Everyday
I am convinced that it is out there somewhere
Everyday
I stroll into the lands unknown
Hoping to find a knowing soul
Everyday 
I smile at the thought of it
I can almost feel it's gentle caress when the summer breeze touches my face
But then ...
I go ahead and stir the still water
With my own bare hands
Watch it ripple and smear
My reflection and everything around 
In a semblance of piercing blurs

It's kind of fascinating if you ask me
I mean how fucked up a picture it is 
Painted by perplexity..
The stupefaction gets heightened 
With every passing reality...
The passing reality being the clone of me
I think that's how all of us feel in these
Blazing youthful 20's 

Everynight
I feel like it's totally okay
Everynight
I think the puzzlement is a momentary ache
Everynight 
I sleep in the hopes of finding it in the rising day ...
But the clarity...
Being the bitch she is..
Hides away...",
6,"There was a time 
When I used to be just fine
Fine in such a  way 
That made me  shine 
I used to be a child then 
So innocent and raw 
Believed everything I heard 
And I saw
It was crystal clear 
Right in front of my eyes 
All the truths 
And all the lies.

Now this is the time
Where I struggle to be fine
Fine in such a way 
That would yield a smile..
I am eighteen now 
Have become an adult 
Surrounded by the blurs 
In all directions 
Nothing seems to work 
The way I want 
The harsh words 
And the taunts 
Should get used to them by now 
I don't know how I found this way 
I just don't know how ...

There will be a time 
When I would be fine 
Fine in such a way 
That I wouldn't whine 
I would be sixty then 
Wrinkles and whites 
But I bet I would be happy 
In the dimming lights 
Watching the sunset 
At a beach side 
Play with my grandkids 
And have a great ride 
I would escape the blurs 
Just fine 
I know 
It would turn out 
Just alright ...",
7,"Last year 
Old friends 
Older laughs 
And oldest regrets
Crave for my attention 
For the last time 
Today ...
Say look back will you? 
The mistakes you made 
The thoughts you neglected 
The regrets your suppressed 
The laughs and smiles you swallowed 
The highs you chased 
The hurt that still stays 
Fresh as ever 
Still haunting you 
Like its here for it 
Forever 

New year 
New friends 
Newer laughs 
And newest regrets 
People walking in and out 
In the circle of life 
Tracing different trajectories every fucking time ..
Just ask this one question to yourself 
Will any of this make any difference?",
8,"It's terrifying..
To face it 
To come to terms with something 
That's close to ur heart 
The thing called
Nervousness 
Takes over all of me
Makes me question myself 
Is this right?
Is it  gonna be okay?
M I going to mess it up?
Should I not do it?
Should I run away?
What if I lose?
What if 
M not ready for the consequences it will cause?
Okay; 
Let's run !!
No ;
Let's fight !!
Fuck it
Let's 
Live !!!
It goes on 
It's ""life""!!!",
9,"I feel like running in circles
Getting lost in the beginnings of the ends
I repeat myself over and over again 
Still It makes me numb 
All of those comprehensions 
Of me and everyone else
I get chained by the conceptions of mine
Is this really the truth? 
Or just the story authored by my mind??
Where am I?
Am I still the me ?
I used to be?
I crash down 
The weight of being nothing grows 
Like the shadows ..
I sob 
I sob for me 
For you 
For us 
And everything  in between..

Erase myself from within me
Just who do you think I want to be? 
Self exploration can be deceiving 
Beautiful scars exposing 
Can you really handle it?
The repercussions and the convulsions 
Crush you to thin dust 
Break break and....
There..broken
But don't forget..
I am still ME
Yes... the ME I used to be ..

Just 
Who?",
10,"I may as well be mentally strange 
Because everytime i sit by the lake
I want to become one with the silent stream
Going along with the current of the wind
Glisten in the moonlight 
And to wear the decorations of the evening skies...

I may as well be criminally delusional 
Because everytime I stand at the hilltop
I want to merge with these winds
Roaming free , caressing broken beautiful nothings...
Know no limits...
Just peacefully exist...

I may as well be purely innocent
Because everytime i look out the window 
I want to become the companion of the little kid with wide eyes..
Experience the wonders or make them bloom
These folks say it's impossible but No..
They are blinded by the rules
Me and my wide-eyed buddy
Will ride dragons and lead kingdoms
Make spaceships and discover galaxies
Dance in the dirty puddles 
Sing aloud to pretty girls..

I may as well be a lonely girl
Because everytime life is being cruel
I want to be wrapped in strong protective arms
Instead ...i sit here by the lake..
Wondering the what ifs of impossibilities
Of innocent fantasies ...
Not willing to stay awake",
